iter	RMSE
0	14.86891278
1	14.48673891
2	14.10555645
3	13.73555907
4	13.37475488
5	13.09421612
6	12.79342706
7	12.51233876
8	12.24611827
9	11.94803678
10	11.65525188
11	11.37829927
12	11.14977387
13	10.90780507
14	10.68003094
15	10.45305741
16	10.23173772
17	10.03527794
18	9.814148264
19	9.614000572
20	9.448128368
21	9.27856246
22	9.107263628
23	8.940555738
24	8.767864537
25	8.650493262
26	8.500710178
27	8.366690547
28	8.238766578
29	8.124581868
30	7.99922801
31	7.888341086
32	7.771034407
33	7.66603289
34	7.556427124
35	7.458586943
36	7.362233193
37	7.276176736
38	7.195874714
39	7.114671952
40	7.040166178
41	6.966234331
42	6.889524211
43	6.830619207
44	6.759781743
45	6.697357416
46	6.63542221
47	6.577992298
48	6.518422307
49	6.461441085
50	6.407996342
51	6.357149921
52	6.306802208
53	6.256697869
54	6.211143796
55	6.16913734
56	6.13119747
57	6.094771229
58	6.057444937
59	6.023571915
60	5.995074406
61	5.959646494
62	5.921985431
63	5.886166554
64	5.861494622
65	5.831540755
66	5.807114844
67	5.781152828
68	5.756902684
69	5.731589833
70	5.701204032
71	5.682893338
72	5.659183546
73	5.637771924
74	5.616870598
75	5.593370658
76	5.574073012
77	5.556815955
78	5.536710152
79	5.519960696
80	5.508530034
81	5.490406789
82	5.476846029
83	5.46207327
84	5.45568996
85	5.443688189
86	5.434023906
87	5.423199089
88	5.409733025
89	5.396864607
90	5.384681193
91	5.37355335
92	5.366362574
93	5.35301374
94	5.341996956
95	5.328829571
96	5.318460449
97	5.308140706
98	5.29620025
99	5.284106694
100	5.276499655
101	5.265113485
102	5.257689956
103	5.249340621
104	5.236797934
105	5.22791631
106	5.218530258
107	5.211584727
108	5.203791687
109	5.196309286
110	5.191199349
111	5.182307529
112	5.177067188
113	5.171215213
114	5.163623235
115	5.158158532
116	5.149295919
117	5.14624003
118	5.141476735
119	5.135403086
120	5.129531859
121	5.125630347
122	5.123825748
123	5.119149057
124	5.110245349
125	5.109640001
126	5.101439933
127	5.096216126
128	5.088298421
129	5.077516492
130	5.069932416
131	5.06519056
132	5.061469641
133	5.055161785
134	5.049120339
135	5.042584107
136	5.035885849
137	5.030575733
138	5.02530952
139	5.022076733
140	5.019427015
141	5.013371065
142	5.009901164
143	5.004045578
144	4.995834429
145	4.99092858
146	4.98587447
147	4.983459773
148	4.979920121
149	4.976674837
150	4.970082762
151	4.967692301
152	4.966449917
153	4.96246658
154	4.957348281
155	4.953943014
156	4.949999642
157	4.943888547
158	4.941075053
159	4.936923947
160	4.935104426
161	4.931342908
162	4.927450406
163	4.923899579
164	4.919305519
165	4.91679247
166	4.916493341
167	4.914426056
168	4.908572177
169	4.900826228
170	4.899036812
171	4.89465328
172	4.891546055
173	4.88525074
174	4.880624817
175	4.874259021
176	4.872070856
177	4.865981044
178	4.860760316
179	4.856213061
180	4.850392288
181	4.84741658
182	4.842134915
183	4.836896263
184	4.83245563
185	4.828780646
186	4.824389245
187	4.819798867
188	4.816370575
189	4.813493382
190	4.811068574
191	4.805923711
192	4.799080404
193	4.797467651
194	4.792759683
195	4.790199669
196	4.786842264
197	4.781086348
198	4.779035451
199	4.774109379
200	4.772034871
201	4.77008691
202	4.766966224
203	4.766072597
204	4.761158648
205	4.757034637
206	4.754569787
207	4.751685831
208	4.749686149
209	4.747511505
210	4.746843062
211	4.743266375
212	4.737815001
213	4.733802239
214	4.72709077
215	4.723583873
216	4.717801026
217	4.713504351
218	4.709899275
219	4.705499565
220	4.701491334
221	4.699714423
222	4.697507798
223	4.691814641
224	4.689464108
225	4.686319008
226	4.684038477
227	4.681125458
228	4.678843217
229	4.678173548
230	4.673071991
231	4.669303635
232	4.665501281
233	4.659583962
234	4.65559567
235	4.652739649
236	4.649782375
237	4.645267905
238	4.643162896
239	4.63883326
240	4.638741225
241	4.635493258
242	4.631239798
243	4.627855737
244	4.625295494
245	4.619408294
246	4.615244826
247	4.60892893
248	4.606741102
249	4.605775244
250	4.603456121
251	4.602579851
252	4.599286543
253	4.595018366
254	4.590101662
255	4.58804278
256	4.585475303
257	4.582727695
258	4.579427521
259	4.57587605
260	4.571987262
261	4.570363373
262	4.566169315
263	4.562700472
264	4.557139312
265	4.554446803
266	4.54696807
267	4.541020253
268	4.538665609
269	4.538053634
270	4.535621149
271	4.53190386
272	4.52574185
273	4.525123777
274	4.518136018
275	4.515105464
276	4.509070978
277	4.503228751
278	4.497499443
279	4.497155482
280	4.493804256
281	4.49021488
282	4.488334101
283	4.485210727
284	4.484507477
285	4.48281383
286	4.476960749
287	4.475834713
288	4.474403938
289	4.472426159
290	4.470416042
291	4.46587551
292	4.461572975
293	4.458778502
294	4.456175654
295	4.452478816
296	4.448946251
297	4.448407409
298	4.442217044
299	4.438288446
300	4.436073638
301	4.429259485
302	4.424772959
303	4.422960484
304	4.417704944
305	4.412546304
306	4.406975021
307	4.403754584
308	4.402759732
309	4.402454003
310	4.397925057
311	4.392160895
312	4.391657691
313	4.387026897
314	4.381372289
315	4.380128897
316	4.375091138
317	4.374586677
318	4.371503297
319	4.36672533
320	4.366239184
321	4.361941091
322	4.3567654
323	4.351338514
324	4.350867039
325	4.347177705
326	4.34282966
327	4.338080393
328	4.331847146
329	4.331369294
330	4.326774183
331	4.324975409
332	4.324437498
333	4.320564748
334	4.315246251
335	4.314705991
336	4.314184011
337	4.309603722
338	4.308562425
339	4.306738125
340	4.301593223
341	4.301342144
342	4.298799841
343	4.293701909
344	4.290674948
345	4.290219819
346	4.287799506
347	4.284544507
348	4.281920612
349	4.28148078
350	4.280424405
351	4.278607973
352	4.272890794
353	4.272467154
354	4.268684985
355	4.26407255
356	4.263703564
357	4.261842737
358	4.261441243
359	4.258246261
360	4.256112141
361	4.252019907
362	4.251703671
363	4.251397673
364	4.249296216
365	4.247406794
366	4.246348875
367	4.244197683
368	4.241756975
369	4.236730211
370	4.233715304
371	4.228314332
372	4.223057061
373	4.219261376
374	4.216715145
375	4.213271386
376	4.211060296
377	4.210676867
378	4.209164098
379	4.205147763
380	4.201879605
381	4.201115447
382	4.197985459
383	4.197605569
384	4.194187658
385	4.189822386
386	4.186074253
387	4.182117572
388	4.179205869
389	4.178897118
390	4.177621446
391	4.172019654
392	4.167525464
393	4.167254201
394	4.162301675
395	4.159844285
396	4.157211667
397	4.153919946
398	4.150579779
399	4.148788502
400	4.144445038
401	4.14185254
402	4.141500457
403	4.139137834
404	4.136079004
405	4.130960549
406	4.126141027
407	4.125601554
408	4.121010985
409	4.118725845
410	4.114420535
411	4.110316282
412	4.10544043
413	4.101329887
414	4.100211935
415	4.097237999
416	4.095769708
417	4.09265585
418	4.089730573
419	4.087734349
420	4.085418408
421	4.082082019
422	4.080335161
423	4.079789068
424	4.075636524
425	4.074375529
426	4.073869825
427	4.07319411
428	4.072538528
429	4.068099462
430	4.064435489
431	4.062875583
432	4.059291855
433	4.059034264
434	4.058780857
435	4.053447518
436	4.050983023
437	4.046390273
438	4.044562652
439	4.041412691
440	4.039527068
441	4.035677501
442	4.033689249
443	4.031575839
444	4.029854793
445	4.025981833
446	4.020818135
447	4.017143535
448	4.012777074
449	4.012557642
450	4.012102353
451	4.009862484
452	4.00720402
453	4.005944204
454	4.002447092
455	3.998648192
456	3.996820993
457	3.995405443
458	3.994953886
459	3.994605296
460	3.99051028
461	3.99029883
462	3.990067863
463	3.98809695
464	3.987867211
465	3.987592629
466	3.982499692
467	3.98077888
468	3.976696978
469	3.973447498
470	3.97015718
471	3.966984077
472	3.962699855
473	3.959407648
474	3.95900351
475	3.958579003
476	3.955505945
477	3.952547769
478	3.950832079
479	3.949033438
480	3.945084061
481	3.941076754
482	3.940851648
483	3.940186485
484	3.936608501
485	3.934997325
486	3.93198279
487	3.928917286
488	3.928714381
489	3.925467311
490	3.922856724
491	3.919668669
492	3.916734845
493	3.914378861
494	3.914002718
495	3.910626152
496	3.909234501
497	3.905714308
498	3.903451146
499	3.898826445
500	3.897381653
501	3.895689106
502	3.893167809
503	3.891478896
504	3.889877488
505	3.886052689
506	3.883153733
507	3.879493099
508	3.877089934
509	3.874297145
510	3.872595092
511	3.870461822
512	3.87026139
513	3.869905897
514	3.865979564
515	3.864838361
516	3.863920193
517	3.862590034
518	3.859296766
519	3.858959736
520	3.856701931
521	3.853045117
522	3.849873587
523	3.846649654
524	3.843402657
525	3.8388962
526	3.836044987
527	3.834990626
528	3.834531385
529	3.831694715
530	3.829316106
531	3.825913194
532	3.82282367
533	3.821499655
534	3.817282807
535	3.813785268
536	3.810013894
537	3.807591777
538	3.80676457
539	3.806359529
540	3.805155844
541	3.803674376
542	3.800159038
543	3.79979513
544	3.799262469
545	3.795519691
546	3.791950199
547	3.788756027
548	3.786298814
549	3.781545604
550	3.77925547
551	3.776757017
552	3.776257642
553	3.775869342
554	3.775634142
555	3.772317295
556	3.769235826
557	3.765694998
558	3.761715366
559	3.758615747
560	3.75846201
561	3.755470346
562	3.754248678
563	3.749247091
564	3.747510666
565	3.744624992
566	3.741393866
567	3.738389158
568	3.73525215
569	3.73350182
570	3.731747109
571	3.730632149
572	3.728936488
573	3.726625196
574	3.72464939
575	3.720831102
576	3.71779235
577	3.717429955
578	3.714148342
579	3.712537326
580	3.711128857
581	3.707949398
582	3.704918322
583	3.703115703
584	3.701768626
585	3.698361588
586	3.695011731
587	3.691073381
588	3.687870798
589	3.684212605
590	3.682301737
591	3.678044554
592	3.676214872
593	3.674756458
594	3.6717218
595	3.670262582
596	3.666590472
597	3.660986376
598	3.657982656
599	3.656959317
600	3.652142098
601	3.649325745
602	3.644743574
603	3.643729084
604	3.639622855
605	3.637476889
606	3.634438661
607	3.631949166
608	3.6291899
609	3.628235332
610	3.627862055
611	3.62313081
612	3.622903017
613	3.622502556
614	3.61999157
615	3.617274012
616	3.616304976
617	3.612441923
618	3.609431523
619	3.605584933
620	3.603304394
621	3.601246628
622	3.60032396
623	3.598161516
624	3.595293982
625	3.59423015
626	3.591145762
627	3.588760276
628	3.586506757
629	3.585996087
630	3.583048932
631	3.580728829
632	3.578051645
633	3.575086519
634	3.572345282
635	3.569619444
636	3.567211071
637	3.566032961
638	3.563178592
639	3.560716516
640	3.560351047
641	3.556760255
642	3.553614523
643	3.552664072
644	3.549934704
645	3.547879966
646	3.54616166
647	3.544718074
648	3.54387598
649	3.542451641
650	3.540322784
651	3.53992973
652	3.537586126
653	3.536754059
654	3.53503981
655	3.532428985
656	3.531368109
657	3.529116588
658	3.527591336
659	3.526247706
660	3.523751467
661	3.520378746
662	3.519191265
663	3.517384216
664	3.514730035
665	3.51112713
666	3.507843607
667	3.505727341
668	3.505555953
669	3.503134889
670	3.50295856
671	3.501201281
672	3.500052499
673	3.498111632
674	3.497084158
675	3.495577712
676	3.49250262
677	3.492251167
678	3.488960582
679	3.488768163
680	3.486615692
681	3.485152606
682	3.483981456
683	3.4826122
684	3.482496257
