iter	Passed	Remaining
0	149	149579
1	154	77338
2	160	53504
3	166	41353
4	171	34065
5	176	29201
6	179	25456
7	181	22478
8	183	20186
9	185	18328
10	186	16809
11	188	15546
12	190	14491
13	192	13573
14	194	12773
15	196	12071
16	198	11456
17	200	10913
18	201	10426
19	203	9984
20	205	9588
21	207	9217
22	208	8876
23	210	8563
24	212	8276
25	213	8014
26	215	7768
27	217	7543
28	218	7332
29	220	7133
30	222	6947
31	223	6772
32	225	6607
33	227	6453
34	228	6309
35	230	6171
36	232	6040
37	233	5917
38	235	5799
39	236	5687
40	238	5580
41	240	5480
42	241	5383
43	243	5293
44	245	5205
45	246	5121
46	248	5040
47	250	4962
48	251	4887
49	253	4815
50	255	4747
51	256	4680
52	258	4616
53	260	4554
54	261	4495
55	263	4437
56	264	4382
57	266	4328
58	268	4276
59	269	4226
60	271	4172
61	272	4126
62	274	4081
63	275	4036
64	277	3994
65	279	3952
66	280	3912
67	282	3873
68	284	3835
69	286	3800
70	287	3763
71	289	3728
72	290	3694
73	292	3661
74	294	3627
75	295	3596
76	297	3565
77	299	3535
78	300	3506
79	302	3478
80	303	3443
81	305	3415
82	306	3388
83	308	3362
84	309	3330
85	311	3305
86	312	3275
87	314	3254
88	315	3232
89	317	3210
90	319	3187
91	320	3165
92	321	3138
93	323	3118
94	325	3096
95	326	3076
96	328	3056
97	329	3036
98	331	3017
99	333	2998
100	334	2979
101	336	2961
102	337	2943
103	339	2925
104	341	2908
105	342	2891
106	344	2875
107	346	2858
108	347	2842
109	349	2826
110	350	2810
111	352	2795
112	354	2780
113	355	2766
114	357	2751
115	359	2736
116	360	2722
117	361	2703
118	363	2687
119	364	2674
120	366	2660
121	367	2648
122	368	2629
123	370	2616
124	372	2604
125	372	2585
126	374	2572
127	375	2560
128	377	2548
129	379	2537
130	380	2525
131	382	2514
132	384	2504
133	386	2495
134	388	2487
135	390	2479
136	392	2470
137	393	2460
138	395	2449
139	397	2439
140	399	2436
141	401	2427
142	403	2418
143	406	2414
144	408	2410
145	411	2408
146	414	2405
147	417	2401
148	419	2397
149	422	2392
150	425	2390
151	427	2386
152	428	2374
153	432	2376
154	436	2378
155	439	2377
156	442	2377
157	445	2372
158	447	2368
159	449	2361
160	451	2354
161	453	2347
162	456	2342
163	458	2336
164	461	2334
165	463	2328
166	465	2320
167	468	2318
168	470	2315
169	473	2310
170	476	2307
171	479	2306
172	482	2306
173	486	2310
174	490	2313
175	493	2311
176	496	2309
177	499	2306
178	502	2303
179	505	2302
180	508	2298
181	510	2294
182	512	2289
183	515	2287
184	518	2283
185	520	2277
186	522	2273
187	525	2268
188	528	2266
189	530	2261
190	532	2256
191	534	2250
192	536	2243
193	539	2240
194	542	2238
195	544	2234
196	547	2230
197	549	2227
198	551	2221
199	554	2219
200	557	2216
201	560	2214
202	562	2208
203	564	2204
204	567	2199
205	569	2193
206	571	2188
207	573	2182
208	574	2175
209	576	2168
210	578	2162
211	579	2155
212	581	2149
213	583	2142
214	585	2137
215	587	2132
216	590	2129
217	591	2123
218	593	2117
219	596	2113
220	598	2109
221	600	2103
222	602	2098
223	604	2095
224	607	2090
225	610	2090
226	612	2087
227	615	2084
228	617	2078
229	619	2072
230	620	2067
231	622	2061
232	624	2055
233	626	2050
234	628	2045
235	630	2039
236	631	2034
237	633	2029
238	635	2023
239	637	2018
240	638	2009
241	640	2005
242	642	2000
243	644	1996
244	646	1991
245	648	1986
246	649	1981
247	651	1976
248	653	1971
249	655	1966
250	657	1962
251	659	1958
252	661	1953
253	663	1949
254	666	1948
255	669	1946
256	672	1944
257	674	1940
258	676	1936
259	680	1937
260	683	1934
261	685	1931
262	687	1927
263	692	1929
264	700	1942
265	702	1938
266	704	1933
267	706	1928
268	707	1923
269	709	1917
270	710	1912
271	712	1907
272	714	1902
273	715	1896
274	717	1891
275	719	1886
276	721	1881
277	722	1877
278	724	1872
279	725	1866
280	727	1861
281	728	1856
282	730	1851
283	732	1846
284	733	1841
285	735	1836
286	737	1831
287	738	1826
288	740	1821
289	742	1816
290	744	1813
291	746	1809
292	748	1805
293	750	1801
294	751	1796
295	753	1791
296	754	1787
297	756	1782
298	758	1777
299	759	1772
300	761	1768
301	763	1763
302	764	1758
303	766	1754
304	767	1749
305	769	1745
306	771	1740
307	773	1737
308	775	1733
309	776	1728
