iter	Passed	Remaining
0	149	149430
1	152	76146
2	155	51587
3	158	39564
4	161	32217
5	164	27280
6	180	25554
7	182	22662
8	186	20584
9	190	18884
10	193	17411
11	196	16167
12	198	15107
13	201	14200
14	205	13467
15	207	12789
16	210	12184
17	213	11638
18	216	11168
19	219	10741
20	221	10343
21	224	9980
22	227	9649
23	231	9432
24	234	9161
25	237	8898
26	240	8650
27	243	8466
28	249	8362
29	253	8189
30	255	7999
31	258	7823
32	262	7689
33	266	7584
34	269	7438
35	272	7297
36	276	7202
37	279	7082
38	282	6953
39	284	6820
40	286	6693
41	288	6578
42	293	6523
43	295	6412
44	297	6318
45	300	6232
46	303	6146
47	307	6103
48	310	6024
49	313	5948
50	315	5875
51	318	5803
52	321	5742
53	324	5676
54	326	5612
55	329	5549
56	333	5515
57	336	5458
58	338	5404
59	341	5349
60	344	5300
61	347	5256
62	351	5231
63	354	5184
64	357	5136
65	359	5089
66	363	5062
67	366	5026
68	370	4993
69	372	4950
70	375	4911
71	380	4899
72	382	4860
73	385	4821
74	387	4783
75	390	4746
76	393	4716
77	396	4681
78	398	4651
79	401	4611
80	402	4571
81	404	4532
82	406	4488
83	410	4477
84	413	4445
85	414	4410
86	417	4376
87	419	4349
88	424	4347
89	427	4322
90	430	4296
91	432	4270
92	438	4279
93	441	4258
94	444	4234
95	447	4209
96	449	4185
97	458	4216
98	460	4191
99	463	4168
100	465	4145
101	473	4167
102	475	4145
103	478	4122
104	486	4148
105	489	4125
106	491	4103
107	494	4081
108	496	4060
109	504	4084
110	507	4062
111	509	4042
112	512	4021
113	519	4036
114	522	4017
115	524	3997
116	526	3973
117	529	3955
118	531	3937
119	535	3925
120	538	3909
121	542	3900
122	545	3886
123	555	3925
124	558	3908
125	564	3918
126	567	3898
127	569	3882
128	578	3906
129	581	3889
130	583	3872
131	586	3855
132	589	3842
133	592	3828
134	595	3815
135	598	3802
136	601	3786
137	615	3843
138	617	3827
139	621	3816
140	624	3807
141	627	3788
142	629	3774
143	632	3759
144	640	3778
145	644	3768
146	646	3753
147	649	3740
148	658	3758
149	660	3745
150	663	3730
151	666	3718
152	673	3725
153	676	3713
154	678	3700
155	681	3687
156	686	3688
157	689	3676
158	692	3662
159	694	3648
160	696	3629
161	704	3646
162	707	3632
163	710	3619
164	712	3603
165	716	3601
166	719	3588
167	722	3576
168	724	3563
169	727	3550
170	732	3550
171	734	3537
172	736	3522
173	738	3507
174	740	3492
175	742	3478
176	746	3473
177	749	3462
178	752	3451
179	755	3439
180	757	3428
181	762	3428
182	765	3417
183	767	3405
184	770	3394
185	773	3383
186	778	3383
187	780	3372
188	783	3361
189	785	3350
190	788	3339
191	794	3343
192	797	3334
193	803	3337
194	810	3345
195	813	3337
196	816	3328
197	820	3324
198	829	3339
199	832	3329
200	835	3322
201	852	3366
202	856	3360
203	859	3351
204	861	3342
205	864	3332
206	867	3321
207	870	3313
208	874	3309
209	877	3299
210	879	3290
211	882	3279
212	884	3267
213	888	3263
214	891	3254
215	893	3243
216	896	3234
217	898	3224
218	903	3222
219	906	3213
220	908	3203
221	911	3194
222	914	3184
223	930	3222
224	932	3212
225	936	3207
226	939	3199
227	942	3190
228	944	3180
229	947	3171
230	950	3165
231	953	3156
232	956	3147
233	958	3139
234	964	3141
235	967	3132
236	970	3124
237	972	3115
238	975	3106
239	978	3099
240	981	3091
241	984	3083
242	987	3075
243	989	3066
244	992	3058
245	995	3050
246	998	3044
247	1001	3036
248	1004	3028
249	1006	3019
250	1011	3017
251	1014	3011
252	1017	3003
253	1019	2995
254	1024	2992
255	1030	2995
256	1033	2987
257	1036	2979
258	1038	2971
259	1045	2976
260	1049	2970
261	1051	2962
262	1054	2954
263	1058	2951
264	1061	2944
265	1064	2936
266	1071	2941
267	1074	2934
268	1077	2927
269	1079	2919
270	1082	2912
271	1085	2904
272	1089	2900
273	1091	2892
274	1094	2884
275	1096	2876
276	1099	2868
277	1108	2878
278	1110	2870
279	1113	2863
280	1116	2856
281	1122	2857
282	1124	2849
283	1127	2841
284	1130	2837
285	1135	2835
286	1143	2839
287	1161	2871
288	1164	2864
289	1168	2859
290	1170	2852
291	1173	2845
292	1176	2838
293	1180	2835
294	1183	2828
295	1186	2821
296	1188	2814
297	1197	2820
298	1200	2814
299	1203	2807
300	1206	2800
301	1208	2793
302	1212	2789
303	1215	2782
304	1217	2775
305	1220	2768
306	1232	2781
307	1234	2774
308	1237	2767
309	1240	2760
310	1243	2753
311	1248	2753
312	1251	2746
313	1253	2739
314	1256	2732
315	1261	2729
316	1263	2722
317	1266	2715
318	1268	2708
319	1271	2701
320	1274	2695
321	1277	2689
322	1295	2716
323	1298	2709
324	1301	2702
325	1303	2695
326	1308	2692
327	1311	2686
328	1313	2679
329	1316	2672
330	1322	2672
331	1326	2668
332	1344	2692
333	1346	2685
334	1349	2678
335	1352	2672
336	1355	2666
337	1358	2659
338	1360	2653
339	1363	2646
340	1366	2641
